Entity,Trade Type,Exchange Rate,Currency,Instruction Date,Settlement Date,Units,Price Per Unit
Entity-14,Buy,0.2666,SAR,04-03-2018,04-06-2018,520,165.25
Entity-14,Sell,0.2666,SAR,04-03-2018,04-06-2018,460,165.75
Entity-15,Buy,0.0155,INR,04-03-2018,04-07-2018,240,170.50
Entity-15,Sell,0.0155,INR,04-03-2018,04-07-2018,230,171.00
Entity-1,Buy,0.1280,HKD,04-04-2018,04-04-2018,325,100.50
Entity-1,Sell,0.1280,HKD,04-04-2018,04-04-2018,140,101.00
Entity-2,Buy,1.1897,EUR,04-04-2018,04-05-2018,160,105.75
Entity-2,Sell,1.1897,EUR,04-04-2018,04-05-2018,345,106.25
Entity-3,Buy,0.0089,JPY,04-04-2018,04-06-2018,360,111.00
Entity-3,Sell,0.0089,JPY,04-04-2018,04-06-2018,750,111.50
Entity-4,Buy,1.3468,GBP,04-04-2018,04-07-2018,430,115.25
Entity-4,Sell,1.3468,GBP,04-04-2018,04-07-2018,250,115.75
Entity-5,Buy,0.7612,AUD,04-04-2018,04-08-2018,220,120.50
Entity-5,Sell,0.7612,AUD,04-04-2018,04-08-2018,245,121.00
Entity-6,Buy,0.7884,CAD,04-05-2018,04-05-2018,355,125.75
Entity-6,Sell,0.7884,CAD,04-05-2018,04-05-2018,295,126.25
Entity-7,Buy,1.0242,CHF,04-05-2018,04-06-2018,140,131.00
Entity-7,Sell,1.0242,CHF,04-05-2018,04-06-2018,160,131.50
Entity-8,Buy,0.1512,CNY,04-05-2018,04-07-2018,180,135.50
Entity-8,Sell,0.1512,CNY,04-05-2018,04-07-2018,130,136.00
Entity-9,Buy,0.1197,SEK,04-05-2018,04-08-2018,145,140.75
Entity-9,Sell,0.1197,SEK,04-05-2018,04-08-2018,120,141.25
Entity-10,Buy,0.0536,MXN,04-05-2018,04-09-2018,240,146.00
Entity-10,Sell,0.0536,MXN,04-05-2018,04-09-2018,330,146.50
Entity-11,Buy,0.6890,NZD,04-06-2018,04-06-2018,360,150.50
Entity-11,Sell,0.6890,NZD,04-06-2018,04-06-2018,385,151.00
Entity-12,Buy,0.7427,SGD,04-06-2018,04-07-2018,260,155.75
Entity-12,Sell,0.7427,SGD,04-06-2018,04-07-2018,190,156.25
Entity-13,Buy,0.2722,AED,04-06-2018,04-08-2018,310,161.00
Entity-13,Sell,0.2722,AED,04-06-2018,04-08-2018,50,161.50
Entity-14,Buy,0.2666,SAR,04-06-2018,04-09-2018,65,165.50
Entity-14,Sell,0.2666,SAR,04-06-2018,04-09-2018,70,166.00
Entity-15,Buy,0.0155,INR,04-06-2018,04-10-2018,110,170.75
Entity-15,Sell,0.0155,INR,04-06-2018,04-10-2018,210,171.25
Entity-1,Buy,0.1280,HKD,04-07-2018,04-07-2018,310,100.75
Entity-1,Sell,0.1280,HKD,04-07-2018,04-07-2018,240,100.75
Entity-2,Buy,1.1897,EUR,04-07-2018,04-08-2018,250,106.00
Entity-2,Sell,1.1897,EUR,04-07-2018,04-08-2018,330,106.25
Entity-3,Buy,0.0089,JPY,04-07-2018,04-09-2018,310,111.25
Entity-3,Sell,0.0089,JPY,04-07-2018,04-09-2018,255,110.75
Entity-4,Buy,1.3468,GBP,04-07-2018,04-10-2018,410,115.50
Entity-4,Sell,1.3468,GBP,04-07-2018,04-10-2018,450,115.00
Entity-5,Buy,0.7612,AUD,04-07-2018,04-09-2018,330,120.75
Entity-5,Sell,0.7612,AUD,04-07-2018,04-09-2018,380,121.25
Entity-6,Buy,0.7884,CAD,04-08-2018,04-08-2018,270,125.50
Entity-6,Sell,0.7884,CAD,04-08-2018,04-08-2018,260,126.50
Entity-7,Buy,1.0242,CHF,04-08-2018,04-09-2018,250,131.25
Entity-7,Sell,1.0242,CHF,04-08-2018,04-09-2018,230,131.75
Entity-8,Buy,0.1512,CNY,04-08-2018,04-10-2018,245,135.75
Entity-8,Sell,0.1512,CNY,04-08-2018,04-10-2018,285,136.25
Entity-9,Buy,0.1197,SEK,04-08-2018,04-09-2018,200,141.00
Entity-9,Sell,0.1197,SEK,04-08-2018,04-09-2018,410,141.75
Entity-10,Buy,0.0536,MXN,04-08-2018,04-12-2018,380,146.25
Entity-10,Sell,0.0536,MXN,04-08-2018,04-12-2018,370,146.75
Entity-11,Buy,0.6890,NZD,04-09-2018,04-09-2018,330,152.00
Entity-11,Sell,0.6890,NZD,04-09-2018,04-09-2018,350,151.50
Entity-12,Buy,0.7427,SGD,04-09-2018,04-10-2018,340,156.00
Entity-12,Sell,0.7427,SGD,04-09-2018,04-10-2018,310,156.50
Entity-13,Buy,0.2722,AED,04-09-2018,04-09-2018,330,161.25
Entity-13,Sell,0.2722,AED,04-09-2018,04-09-2018,350,161.75
Entity-14,Buy,0.2666,SAR,04-09-2018,04-12-2018,375,165.25
Entity-14,Sell,0.2666,SAR,04-09-2018,04-12-2018,410,165.75
Entity-15,Buy,0.0155,INR,04-09-2018,04-13-2018,520,171.00
Entity-15,Sell,0.0155,INR,04-09-2018,04-13-2018,565,171.50
Entity-1,Buy,0.1280,HKD,04-10-2018,04-10-2018,310,100.50
Entity-1,Sell,0.1280,HKD,04-10-2018,04-10-2018,280,100.75
Entity-2,Buy,1.1897,EUR,04-10-2018,04-09-2018,610,106.25
Entity-2,Sell,1.1897,EUR,04-10-2018,04-09-2018,240,106.25
Entity-3,Buy,0.0089,JPY,04-10-2018,04-12-2018,230,111.25
Entity-3,Sell,0.0089,JPY,04-10-2018,04-12-2018,265,110.00
Entity-4,Buy,1.3468,GBP,04-10-2018,04-13-2018,200,115.75
Entity-4,Sell,1.3468,GBP,04-10-2018,04-13-2018,220,115.25
Entity-5,Buy,0.7612,AUD,04-10-2018,04-14-2018,230,120.00
Entity-5,Sell,0.7612,AUD,04-10-2018,04-14-2018,260,121.50
Entity-6,Buy,0.7884,CAD,04-09-2018,04-09-2018,320,125.75
Entity-6,Sell,0.7884,CAD,04-09-2018,04-09-2018,315,126.25
Entity-7,Buy,1.0242,CHF,04-09-2018,04-12-2018,335,131.50
Entity-7,Sell,1.0242,CHF,04-09-2018,04-12-2018,365,132.00
Entity-8,Buy,0.1512,CNY,04-09-2018,04-13-2018,370,135.50
Entity-8,Sell,0.1512,CNY,04-09-2018,04-13-2018,430,136.50
Entity-9,Buy,0.1197,SEK,04-09-2018,04-14-2018,485,141.25
Entity-9,Sell,0.1197,SEK,04-09-2018,04-14-2018,275,141.50
Entity-10,Buy,0.0536,MXN,04-09-2018,04-15-2018,225,146.75
Entity-10,Sell,0.0536,MXN,04-09-2018,04-15-2018,230,147.00
Entity-11,Buy,0.6890,NZD,04-12-2018,04-12-2018,410,152.50
Entity-11,Sell,0.6890,NZD,04-12-2018,04-12-2018,450,151.75
Entity-12,Buy,0.7427,SGD,04-12-2018,04-13-2018,435,155.50
Entity-12,Sell,0.7427,SGD,04-12-2018,04-13-2018,450,156.75
Entity-13,Buy,0.2722,AED,04-12-2018,04-14-2018,275,161.00
Entity-13,Sell,0.2722,AED,04-12-2018,04-14-2018,280,162.00
Entity-14,Buy,0.2666,SAR,04-12-2018,04-15-2018,310,165.50
Entity-14,Sell,0.2666,SAR,04-12-2018,04-15-2018,410,165.50
Entity-15,Buy,0.0155,INR,04-12-2018,04-16-2018,415,172.00
Entity-15,Sell,0.0155,INR,04-12-2018,04-16-2018,225,172.50
Entity-1,Buy,0.1280,HKD,04-13-2018,04-13-2018,215,100.25
Entity-1,Sell,0.1280,HKD,04-13-2018,04-13-2018,175,100.00
Entity-2,Buy,1.1897,EUR,04-13-2018,04-14-2018,180,106.50
Entity-2,Sell,1.1897,EUR,04-13-2018,04-14-2018,280,106.00
Entity-3,Buy,0.0089,JPY,04-13-2018,04-15-2018,285,111.00
Entity-3,Sell,0.0089,JPY,04-13-2018,04-15-2018,150,111.00
Entity-4,Buy,1.3468,GBP,04-13-2018,04-16-2018,140,115.00
Entity-4,Sell,1.3468,GBP,04-13-2018,04-16-2018,160,115.50
Entity-5,Buy,0.7612,AUD,04-13-2018,04-17-2018,275,120.25
Entity-5,Sell,0.7612,AUD,04-13-2018,04-17-2018,225,121.75
Entity-6,Buy,0.7884,CAD,04-14-2018,04-14-2018,245,126.00
Entity-6,Sell,0.7884,CAD,04-14-2018,04-14-2018,210,126.00
Entity-7,Buy,1.0242,CHF,04-14-2018,04-15-2018,230,131.50
Entity-7,Sell,1.0242,CHF,04-14-2018,04-15-2018,255,132.50
Entity-8,Buy,0.1512,CNY,04-14-2018,04-16-2018,180,135.75
Entity-8,Sell,0.1512,CNY,04-14-2018,04-16-2018,175,136.75
Entity-9,Buy,0.1197,SEK,04-14-2018,04-17-2018,410,140.00
Entity-9,Sell,0.1197,SEK,04-14-2018,04-17-2018,420,141.75
Entity-10,Buy,0.0536,MXN,04-14-2018,04-18-2018,230,146.50
Entity-10,Sell,0.0536,MXN,04-14-2018,04-18-2018,110,146.75
Entity-11,Buy,0.6890,NZD,04-15-2018,04-15-2018,95,152.75
Entity-11,Sell,0.6890,NZD,04-15-2018,04-15-2018,345,151.50
Entity-12,Buy,0.7427,SGD,04-15-2018,04-16-2018,200,155.75
Entity-12,Sell,0.7427,SGD,04-15-2018,04-16-2018,105,156.50
Entity-13,Buy,0.2722,AED,04-15-2018,04-17-2018,115,161.25
Entity-13,Sell,0.2722,AED,04-15-2018,04-17-2018,210,162.50
Entity-14,Buy,0.2666,SAR,04-15-2018,04-18-2018,420,165.00
Entity-14,Sell,0.2666,SAR,04-15-2018,04-18-2018,430,165.75
Entity-15,Buy,0.0155,INR,04-15-2018,04-19-2018,415,172.25
Entity-15,Sell,0.0155,INR,04-15-2018,04-19-2018,310,172.75
Entity-1,Buy,0.1280,HKD,04-16-2018,04-16-2018,350,101.25
Entity-1,Sell,0.1280,HKD,04-16-2018,04-16-2018,335,101.00
Entity-2,Buy,1.1897,EUR,04-16-2018,04-17-2018,340,106.00
Entity-2,Sell,1.1897,EUR,04-16-2018,04-17-2018,375,106.50
Entity-3,Buy,0.0089,JPY,04-16-2018,04-18-2018,385,111.25
Entity-3,Sell,0.0089,JPY,04-16-2018,04-18-2018,310,111.50
Entity-4,Buy,1.3468,GBP,04-16-2018,04-19-2018,210,110.25
Entity-4,Sell,1.3468,GBP,04-16-2018,04-19-2018,220,115.75
Entity-5,Buy,0.7612,AUD,04-16-2018,04-20-2018,230,120.50
Entity-5,Sell,0.7612,AUD,04-16-2018,04-20-2018,250,122.00
Entity-6,Buy,0.7884,CAD,04-17-2018,04-17-2018,310,127.00
Entity-6,Sell,0.7884,CAD,04-17-2018,04-17-2018,350,126.50
Entity-7,Buy,1.0242,CHF,04-17-2018,04-18-2018,340,132.00
Entity-7,Sell,1.0242,CHF,04-17-2018,04-18-2018,365,132.50
Entity-8,Buy,0.1512,CNY,04-17-2018,04-19-2018,340,135.50
Entity-8,Sell,0.1512,CNY,04-17-2018,04-19-2018,410,136.00
Entity-9,Buy,0.1197,SEK,04-17-2018,04-20-2018,265,140.25
Entity-9,Sell,0.1197,SEK,04-17-2018,04-20-2018,245,141.00
Entity-10,Buy,0.0536,MXN,04-17-2018,04-21-2018,110,146.75
Entity-10,Sell,0.0536,MXN,04-17-2018,04-21-2018,640,146.00
Entity-11,Buy,0.6890,NZD,04-18-2018,04-18-2018,630,152.50
Entity-11,Sell,0.6890,NZD,04-18-2018,04-18-2018,540,151.75
Entity-12,Buy,0.7427,SGD,04-18-2018,04-19-2018,525,155.50
Entity-12,Sell,0.7427,SGD,04-18-2018,04-19-2018,195,156.25
Entity-13,Buy,0.2722,AED,04-18-2018,04-20-2018,205,161.00
Entity-13,Sell,0.2722,AED,04-18-2018,04-20-2018,440,162.00
Entity-14,Buy,0.2666,SAR,04-18-2018,04-21-2018,310,165.25
Entity-14,Sell,0.2666,SAR,04-18-2018,04-21-2018,350,165.00
Entity-15,Buy,0.0155,INR,04-18-2018,04-22-2018,815,172.50
Entity-15,Sell,0.0155,INR,04-18-2018,04-22-2018,320,172.50
Entity-1,Buy,0.1280,HKD,04-19-2018,04-19-2018,350,101.00
Entity-1,Sell,0.1280,HKD,04-19-2018,04-19-2018,360,101.50
Entity-2,Buy,1.1897,EUR,04-19-2018,04-20-2018,370,106.25
Entity-2,Sell,1.1897,EUR,04-19-2018,04-20-2018,350,106.50
Entity-3,Buy,0.0089,JPY,04-19-2018,04-21-2018,415,111.00
Entity-3,Sell,0.0089,JPY,04-19-2018,04-21-2018,445,111.50
Entity-4,Buy,1.3468,GBP,04-19-2018,04-22-2018,410,110.50
Entity-4,Sell,1.3468,GBP,04-19-2018,04-22-2018,475,105.50
Entity-5,Buy,0.7612,AUD,04-19-2018,04-23-2018,410,120.00
Entity-5,Sell,0.7612,AUD,04-19-2018,04-23-2018,345,120.25
Entity-6,Buy,0.7884,CAD,04-20-2018,04-20-2018,360,125.00
Entity-6,Sell,0.7884,CAD,04-20-2018,04-20-2018,165,126.50
Entity-7,Buy,1.0242,CHF,04-20-2018,04-21-2018,195,132.25
Entity-7,Sell,1.0242,CHF,04-20-2018,04-21-2018,225,132.25
Entity-8,Buy,0.1512,CNY,04-20-2018,04-22-2018,265,135.00
Entity-8,Sell,0.1512,CNY,04-20-2018,04-22-2018,410,135.50
Entity-9,Buy,0.1197,SEK,04-20-2018,04-23-2018,440,140.50
Entity-9,Sell,0.1197,SEK,04-20-2018,04-23-2018,425,140.75
Entity-10,Buy,0.0536,MXN,04-20-2018,04-24-2018,355,147.00
Entity-10,Sell,0.0536,MXN,04-20-2018,04-24-2018,375,146.50
Entity-11,Buy,0.6890,NZD,04-21-2018,04-21-2018,340,152.00
Entity-11,Sell,0.6890,NZD,04-21-2018,04-21-2018,250,152.50
Entity-12,Buy,0.7427,SGD,04-21-2018,04-22-2018,260,155.75
Entity-12,Sell,0.7427,SGD,04-21-2018,04-22-2018,280,156.00
Entity-13,Buy,0.2722,AED,04-21-2018,04-23-2018,295,161.00
Entity-13,Sell,0.2722,AED,04-21-2018,04-23-2018,410,161.25
Entity-14,Buy,0.2666,SAR,04-21-2018,04-24-2018,440,165.00
Entity-14,Sell,0.2666,SAR,04-21-2018,04-24-2018,560,165.50
Entity-15,Buy,0.0155,INR,04-21-2018,04-25-2018,530,175.00
Entity-15,Sell,0.0155,INR,04-21-2018,04-25-2018,255,176.00
Entity-1,Buy,0.1280,HKD,04-22-2018,04-22-2018,210,105.00
Entity-1,Sell,0.1280,HKD,04-22-2018,04-22-2018,440,105.50
Entity-2,Buy,1.1897,EUR,04-22-2018,04-23-2018,215,106.00
Entity-2,Sell,1.1897,EUR,04-22-2018,04-23-2018,235,110.00
Entity-3,Buy,0.0089,JPY,04-22-2018,04-24-2018,245,111.25
Entity-3,Sell,0.0089,JPY,04-22-2018,04-24-2018,320,111.75
Entity-4,Buy,1.3468,GBP,04-22-2018,04-25-2018,315,110.75
Entity-4,Sell,1.3468,GBP,04-22-2018,04-25-2018,330,105.00
Entity-5,Buy,0.7612,AUD,04-22-2018,04-26-2018,245,120.50
Entity-5,Sell,0.7612,AUD,04-22-2018,04-26-2018,255,120.75
Entity-6,Buy,0.7884,CAD,04-23-2018,04-23-2018,230,125.25
Entity-6,Sell,0.7884,CAD,04-23-2018,04-23-2018,430,126.00
Entity-7,Buy,1.0242,CHF,04-23-2018,04-24-2018,455,132.00
Entity-7,Sell,1.0242,CHF,04-23-2018,04-24-2018,465,132.50
Entity-8,Buy,0.1512,CNY,04-23-2018,04-25-2018,540,135.50
Entity-8,Sell,0.1512,CNY,04-23-2018,04-25-2018,555,135.75
Entity-9,Buy,0.1197,SEK,04-23-2018,04-26-2018,630,141.00
Entity-9,Sell,0.1197,SEK,04-23-2018,04-26-2018,610,141.25
Entity-10,Buy,0.0536,MXN,04-23-2018,04-27-2018,630,147.25
Entity-10,Sell,0.0536,MXN,04-23-2018,04-27-2018,310,147.50
Entity-11,Buy,0.6890,NZD,04-24-2018,04-24-2018,375,152.25
Entity-11,Sell,0.6890,NZD,04-24-2018,04-24-2018,370,152.75
Entity-12,Buy,0.7427,SGD,04-24-2018,04-25-2018,250,156.00
Entity-12,Sell,0.7427,SGD,04-24-2018,04-25-2018,280,156.25
Entity-13,Buy,0.2722,AED,04-24-2018,04-26-2018,210,161.25
Entity-13,Sell,0.2722,AED,04-24-2018,04-26-2018,255,161.75
Entity-14,Buy,0.2666,SAR,04-24-2018,04-27-2018,270,160.00
Entity-14,Sell,0.2666,SAR,04-24-2018,04-27-2018,290,160.25
Entity-15,Buy,0.0155,INR,04-24-2018,04-28-2018,310,175.50
Entity-15,Sell,0.0155,INR,04-24-2018,04-28-2018,160,176.50
Entity-1,Buy,0.1280,HKD,04-25-2018,04-25-2018,175,102.50
Entity-1,Sell,0.1280,HKD,04-25-2018,04-25-2018,140,104.00
Entity-2,Buy,1.1897,EUR,04-25-2018,04-26-2018,380,105.00
Entity-2,Sell,1.1897,EUR,04-25-2018,04-26-2018,395,107.50
Entity-3,Buy,0.0089,JPY,04-25-2018,04-27-2018,410,112.50
Entity-3,Sell,0.0089,JPY,04-25-2018,04-27-2018,445,111.00
Entity-4,Buy,1.3468,GBP,04-25-2018,04-28-2018,210,115.00
Entity-4,Sell,1.3468,GBP,04-25-2018,04-28-2018,240,107.00
Entity-5,Buy,0.7612,AUD,04-25-2018,04-29-2018,245,110.50
Entity-5,Sell,0.7612,AUD,04-25-2018,04-29-2018,430,120.00
Entity-6,Buy,0.7884,CAD,04-26-2018,04-27-2018,425,126.00
Entity-6,Sell,0.7884,CAD,04-26-2018,04-27-2018,320,126.75
Entity-7,Buy,1.0242,CHF,04-26-2018,04-28-2018,265,132.50
Entity-7,Sell,1.0242,CHF,04-26-2018,04-28-2018,410,132.00
Entity-8,Buy,0.1512,CNY,04-26-2018,04-29-2018,415,135.50
Entity-8,Sell,0.1512,CNY,04-26-2018,04-29-2018,245,136.00
Entity-9,Buy,0.1197,SEK,04-26-2018,04-30-2018,265,140.00
Entity-9,Sell,0.1197,SEK,04-26-2018,04-30-2018,210,141.00
Entity-10,Buy,0.0536,MXN,04-26-2018,04-30-2018,255,145.00
Entity-10,Sell,0.0536,MXN,04-26-2018,04-30-2018,230,146.00
Entity-11,Buy,0.6890,NZD,04-27-2018,04-27-2018,410,152.00
Entity-11,Sell,0.6890,NZD,04-27-2018,04-27-2018,510,151.00
Entity-12,Buy,0.7427,SGD,04-27-2018,04-28-2018,625,156.00
Entity-12,Sell,0.7427,SGD,04-27-2018,04-28-2018,645,155.00
Entity-13,Buy,0.2722,AED,04-27-2018,04-29-2018,475,161.00
Entity-S1,Sell,0.2722,AED,04-27-2018,04-29-2018,395,160.00
Entity-14,Buy,0.2666,SAR,04-27-2018,04-30-2018,255,155.00
Entity-14,Sell,0.2666,SAR,04-27-2018,04-30-2018,150,155.75
Entity-15,Buy,0.0155,INR,04-27-2018,04-30-2018,180,175.00
Entity-15,Sell,0.0155,INR,04-27-2018,04-30-2018,190,177.00
Entity-1,Buy,0.1280,HKD,04-28-2018,04-28-2018,310,104.00
Entity-1,Sell,0.1280,HKD,04-28-2018,04-28-2018,365,105.00
Entity-2,Buy,1.1897,EUR,04-28-2018,04-29-2018,410,105.50
Entity-2,Sell,1.1897,EUR,04-28-2018,04-29-2018,250,111.50
Entity-3,Buy,0.0089,JPY,04-28-2018,04-30-2018,235,111.00
Entity-3,Sell,0.0089,JPY,04-28-2018,04-30-2018,310,111.00
Entity-4,Buy,1.3468,GBP,04-28-2018,04-30-2018,355,111.00
Entity-4,Sell,1.3468,GBP,04-28-2018,04-30-2018,375,105.50
Entity-5,Buy,0.7612,AUD,04-28-2018,04-30-2018,210,121.00
Entity-5,Sell,0.7612,AUD,04-29-2018,04-29-2018,225,120.00
Entity-6,Buy,0.7884,CAD,04-29-2018,04-29-2018,245,125.00
Entity-6,Sell,0.7884,CAD,04-29-2018,04-29-2018,325,126.00
Entity-7,Buy,1.0242,CHF,04-29-2018,04-30-2018,365,130.00
Entity-7,Sell,1.0242,CHF,04-29-2018,04-30-2018,370,131.00
Entity-8,Buy,0.1512,CNY,04-29-2018,04-30-2018,210,135.00
Entity-8,Sell,0.1512,CNY,04-29-2018,04-30-2018,225,134.00
Entity-9,Buy,0.1197,SEK,04-29-2018,04-30-2018,365,140.00
Entity-9,Sell,0.1197,SEK,04-29-2018,04-30-2018,375,141.00
Entity-10,Buy,0.0536,MXN,04-29-2018,04-30-2018,380,145.00
Entity-10,Sell,0.0536,MXN,04-29-2018,04-30-2018,610,146.00
Entity-11,Buy,0.6890,NZD,04-30-2018,04-30-2018,245,152.00
Entity-11,Sell,0.6890,NZD,04-30-2018,04-30-2018,275,152.00
Entity-12,Buy,0.7427,SGD,04-30-2018,04-30-2018,285,155.00
Entity-12,Sell,0.7427,SGD,04-30-2018,04-30-2018,225,155.50
Entity-13,Buy,0.2722,AED,04-30-2018,04-30-2018,310,161.00
Entity-13,Sell,0.2722,AED,04-30-2018,04-30-2018,350,162.00
Entity-14,Buy,0.2666,SAR,04-30-2018,04-30-2018,185,160.00
Entity-14,Sell,0.2666,SAR,04-30-2018,04-30-2018,195,160.50
Entity-15,Buy,0.0155,INR,04-30-2018,04-30-2018,310,175.00
Entity-15,Sell,0.0155,INR,04-30-2018,04-30-2018,355,175.50
